Kids,HouseholdSize,Sex,Vehicles,Food,Housing,Alcohol,Debt,income_category
0,1,female,0,55.263,263.74,20.722,63.27,Medium
0,1,male,1,55.218,292.47,11.485,101.987,Medium
0,2,male,1,72.049,362.16,16.951,45.718,Medium
0,1,male,0,80.532,316,17.981,42.251,Low
0,2,female,0,48.767,337.39,15.041,77.266,Medium
0,1,male,1,63.591,263.36,12.599,52.186,Low
0,1,female,1,51.155,277.42,13.965,NA,Low
0,1,female,3,70.503,386.58,14.559,61.88,Low
2,4,male,1,52.095,266.27,17.648,59.72,Medium
0,1,female,3,37.787,224,19.986,66.624,Medium
0,1,male,1,57.372,350.42,23.322,87.243,Medium
0,2,male,1,51.971,312.91,23.643,53.611,Medium
0,1,female,1,42.599,340.91,21.41,75.246,Low
0,1,female,1,52.487,310.07,8.739,58.214,Medium
5,7,male,1,48.071,275.86,16.469,61.789,High
0,2,female,1,41.388,290.92,16.091,61.619,Medium
0,2,male,1,62.936,349.99,21.291,20.637,Medium
2,4,male,1,60.272,283.94,18.354,56.937,Medium
2,4,male,0,50.161,314.25,19.902,52.869,Medium
0,1,female,1,71.236,457.94,15.741,61.186,Low
0,2,male,0,58.79,367.32,14.174,62.188,Medium
0,2,female,2,47.454,285.45,18.482,77.49,Medium
2,4,male,0,51.288,376.94,18.116,70.051,High
0,1,female,1,63.221,358.82,13.61,66.625,Low
0,1,male,4,46.796,285,19.694,67.52,Medium
2,4,male,1,56.334,270.86,16.697,74.659,Medium
0,1,female,1,36.451,277.55,12.606,51.591,Low
0,2,female,1,87.936,341.35,18.494,78.83,Medium
1,3,male,0,55.598,299.94,15.199,64.876,Medium
0,3,male,2,61.534,343.3,17.882,106.338,Medium
2,4,male,2,62.27,290.66,19.573,60.84,Medium
0,2,male,5,50.026,261.58,16.306,56.452,Medium
0,1,male,0,64.942,334.25,15.193,50.602,Low
1,2,female,1,62.552,327.8,13.62,55.338,Low
0,1,female,2,57.414,350.53,14.199,58.616,Low
0,1,female,1,51.662,311.24,19.282,104.524,Low
4,6,male,1,63.703,362.13,22.244,74.498,Medium
0,1,female,2,40.236,324.34,11.491,76.433,Low
0,1,female,2,49.56,269.22,13.662,0,Low
3,5,male,0,54.91,302.89,21.037,36.353,Medium
2,4,male,1,28.118,294.09,15.181,60.362,High
2,3,female,1,61.071,364.4,19.18,82.247,Medium
2,4,male,0,34.044,203.53,19.768,58.299,Medium
0,2,male,2,52.748,236.79,15.386,61.63,High
0,3,male,1,69.562,299.56,13.117,19.807,Medium
0,1,female,1,63.146,256.28,14.103,48.291,Low
2,3,female,0,76.92,341.76,17.09,46.524,Low
0,1,male,1,29.499,299.38,17.584,65.537,Low
0,2,male,0,37.206,319.84,18.563,54.101,High
0,2,male,1,68.93,261.75,17.042,39.77,High
0,1,male,3,47.492,376.71,14.136,48.616,Low
2,4,male,0,48.13,294.18,21.45,75.477,Medium
0,1,female,3,68.914,304.74,13.772,42.362,Low
0,3,male,3,54.374,399.08,15.31,63.67,Low
0,1,male,0,51.326,268.34,14.89,58.944,Low
0,1,male,2,61.976,334.8,18.731,56.116,Medium
2,4,male,0,39.02,284.25,17.104,76.598,Medium
0,2,male,2,47.774,256.68,15.939,75.66,Low
4,5,female,1,47.232,342.57,13.811,53.945,Medium
0,2,male,2,56.236,313.87,16.189,56.975,Medium
1,3,male,0,49.075,331.09,19.598,64.017,Medium
0,1,female,0,50.93,300.98,18.081,81.815,Low
0,1,female,2,43.815,277.5,19.481,54.151,Low
0,2,female,2,59.997,307.94,19.693,58.838,Medium
1,5,male,3,60.939,287.82,14.783,55.993,High
0,1,female,0,39.268,366.53,17.889,62.782,Low
2,4,male,1,58.501,324.86,21.069,67.051,High
2,4,male,0,40.262,281.71,19.983,55.361,Medium
0,1,female,2,44.136,285.93,18.175,97.063,Medium
0,1,female,1,44.131,288.68,12.448,61.459,Low
0,2,male,1,37.145,346.31,14.738,68.28,High
0,2,female,0,31.04,232.16,14.93,70.776,Medium
0,2,male,2,47.921,245.33,14.634,62.664,High
0,1,female,2,73.383,329.56,19.218,32.884,Low
0,1,male,1,64.029,358.27,17.668,64.459,Medium
0,2,male,1,60.067,284.64,14.437,88.097,Medium
0,4,male,0,89.755,292.39,18.988,60.841,Medium
2,5,female,1,56.111,227.09,18.379,79.096,High
0,1,female,1,70.454,354.72,22.109,51.229,Medium
0,1,male,1,54.629,301.17,26.115,77.877,Low
0,2,male,2,30.08,246.18,18.99,68.666,Medium
0,2,male,2,54.488,266.79,13.388,53.292,Medium
0,2,male,1,58.132,404.62,17.258,65.32,Medium
2,5,male,0,55.328,399.51,16.747,50.688,Medium
0,1,female,0,63.425,265.01,14.637,83.009,Medium
0,2,female,1,57.27,278.1,17.209,77.293,Low
1,3,male,1,78.01,338.07,15.485,51.185,Low
0,2,male,1,71.755,506.51,15.943,74.148,Medium
1,3,male,1,47.192,337.31,11.388,64.813,Medium
0,2,female,0,59.259,451.77,22.28,75.054,Medium
0,2,male,1,58.862,289.92,17.359,53.747,Medium
0,1,male,1,69.726,483.65,20.817,57.341,Medium
0,2,male,2,49.942,380.94,12.891,78.837,Medium
0,2,female,1,83.183,506.52,10.116,61.87,High
4,5,female,0,55.255,306.9,17.814,53.427,Medium
1,3,female,0,69.38,380.79,16.943,61.931,Medium
2,4,male,2,38.369,271.59,11.433,53.669,High
2,4,male,0,61.009,325.71,16.075,57.482,Medium
0,1,female,1,49.728,312.73,18.927,81.387,Low
0,2,female,2,42.101,409.88,17.843,55.921,Medium
0,1,male,1,28.139,260.54,13.571,47.652,Low
0,2,female,2,49.494,299.42,20.559,93.622,Medium
0,1,male,0,78.727,347.38,18.076,62.412,Low
1,2,female,2,78.295,354.1,13.751,43.498,Low
0,2,male,2,64.8,287.45,18.492,52.495,Medium
0,2,male,1,76.214,318.62,14.59,65.096,Medium
0,1,male,2,36.679,228.91,13.481,40.532,Low
2,4,male,0,64.761,322.2,13.041,88.685,Medium
0,2,female,1,71.647,455.38,15.578,46.649,Medium
1,4,female,1,72.814,319.72,18.515,46.658,Medium
0,1,male,1,55.178,280.3,17.339,46.162,Low
0,2,female,1,57.655,270.09,15.247,57.962,Medium
0,2,male,1,45.765,369.87,14.622,56.159,Medium
0,3,male,2,42.748,320.34,19.804,83.957,High
1,3,female,0,42.346,325.93,17.071,70.636,High
0,2,male,1,36.262,318.33,16.369,53.637,Medium
0,2,male,1,71.349,371.21,15.358,35.324,Medium
4,5,female,0,43.123,319.35,18.601,106.91,Medium
2,4,male,1,57.668,403.31,18.011,71.372,High
0,1,female,2,47.793,317.1,15.785,49.406,Low
0,1,male,0,62.258,363.85,15.461,98.772,Medium
2,4,male,2,75.42,276.15,14.466,33.958,Medium
0,1,female,2,70.92,319.48,15.095,81.739,Low
0,2,female,2,49.208,278.71,21.892,57.22,Low
3,5,male,1,75.198,320.53,17.059,48.412,Medium
3,4,female,1,55.445,368.57,15.77,74.277,Medium
0,1,female,0,48.998,233.6,21.813,60.723,Low
4,6,female,2,52.522,268.73,18.63,69.279,Medium
0,1,female,0,57.166,297.41,18.415,61.612,Medium
1,3,male,1,48.607,357.35,21.1,64.866,Medium
1,3,male,1,62.1,248.89,17.543,55.009,Medium
0,1,male,0,75.922,330.41,17.539,59.865,Low
0,2,male,1,78.092,348.98,18.893,78.704,Medium
0,2,male,1,72.542,315.99,19.261,49.091,Low
1,3,male,1,63.48,325.76,19.499,78.875,Medium
NA,NA,NA,0,55.19,372.91,15.856,57.221,NA
2,5,male,1,64.183,271.29,17.189,40.596,High
0,2,male,1,51.492,338.24,12.372,71.283,Medium
0,2,female,1,59.977,306.55,15.186,0,Medium
0,1,female,0,49.938,332.61,12.993,63.095,Medium
0,2,male,3,39.107,346.34,18.767,61.17,Medium
2,3,female,1,76.475,376.55,21.416,79.257,Low
0,4,male,2,60.43,288.02,14.418,29.439,Medium
0,1,female,1,53.201,390.78,17.859,59.468,Low
0,1,female,2,51.75,439.71,20.88,62.604,Low
1,2,male,3,41.271,274.23,17.552,60.052,Medium
0,1,female,1,73.367,354.23,11.549,42.715,Medium
4,6,male,1,48.318,315.94,14.084,42.479,Medium
1,3,male,1,61.24,352.49,18.626,70.943,Medium
0,2,male,1,56.978,235.86,13.929,49.914,Medium
2,4,male,2,51.051,335.53,17.451,52.097,Medium
0,1,female,0,79.387,448.33,14.052,96.262,Low
0,1,female,1,63.432,304.42,14.4,60.868,Low
1,3,male,1,32.277,202.68,16.529,41.603,Low
0,4,male,1,57.241,274.85,19.491,52.8,Medium
3,5,male,0,54.029,324.36,19.495,59.032,Medium
1,3,male,1,59.788,354.31,17.473,44.441,Medium
0,2,male,1,44.6,317.2,23.263,0,Medium
0,1,female,1,51.591,305.31,19.581,51.096,Low
1,3,female,0,66.663,252.38,14.418,77.443,Medium
0,1,female,1,55.833,360.95,18.339,57.915,Low
0,1,male,2,75.14,311.77,15.244,39.276,Low
0,1,female,2,78.04,295.69,19.206,60.261,Low
0,1,male,1,80.646,307.78,18.493,45.163,Medium
0,2,female,1,72.251,318.81,20.583,81.847,High
4,6,female,1,65.753,331.3,13.384,65.112,Medium
0,1,male,2,43.96,323.59,18.68,36.089,Low
2,5,male,3,43.257,270.82,16.289,49.401,High
1,4,male,2,55.535,312.45,23.378,0,Medium
1,5,male,3,59.76,304.99,15.947,55.095,Medium
0,4,female,2,50.098,338.01,23.48,99.777,High
0,1,female,1,50.436,295.09,19.235,120.187,Medium
0,2,male,0,82.009,327.75,16.48,68.9,Medium
0,2,male,1,69.875,270.78,17.664,59.809,Medium
0,1,female,3,54.197,397.74,13.259,50.552,Medium
0,1,male,1,48.197,236.62,10.422,73.036,Low
0,2,male,1,53.247,280.37,15.704,0,Medium
1,3,male,2,59.647,302.1,18.642,58.843,Medium
1,3,female,1,50.41,274.35,16.355,61.592,High
0,1,female,1,62.133,283.1,18.796,53.721,Low
0,2,male,0,74.21,409.83,20.674,69.944,Medium
0,1,female,1,70.322,329.14,15.188,77.884,Low
1,3,female,0,62.704,292.16,15.528,54.147,Low
0,1,male,0,64.985,335.11,22.133,93.822,Medium
0,2,female,3,57.054,330.99,14.649,81.148,Medium
2,5,female,1,81.109,357.33,15.41,103.563,Medium
2,4,male,0,55.908,294.63,18.884,53.723,Medium
1,3,female,2,56.656,340.57,13.869,41.57,Low
2,3,female,1,69.309,462.44,13.479,46.991,Low
0,2,male,1,59.476,321.25,15.924,65.797,Medium
0,2,female,2,61.368,387.64,17.941,65.585,Medium
0,2,male,2,71.222,374.54,19.786,83.427,Medium
0,2,male,1,72.156,298.68,13.752,66.52,Medium
0,2,male,0,46.2,327.19,18.188,50.321,Medium
0,2,female,1,49.057,283.83,15.738,43.103,High
0,3,male,0,59.894,307.92,10.564,110.136,Medium
0,3,male,0,47.479,410.6,12.585,48.167,Medium
0,1,female,2,64.205,369.57,23.145,59.398,Medium
0,1,female,2,74.269,329.81,12.895,55.173,Medium
2,4,male,0,92.93,376.26,15.88,92.599,Medium
0,1,male,0,54.81,310.3,18.32,54.951,Medium
2,4,male,2,35.156,253.69,16.549,59.327,Medium
1,3,male,1,65.541,248.25,20.604,48.891,High
0,2,male,0,52.476,243.8,19.434,45.771,Medium
2,7,female,1,54.695,250.15,11.581,45.747,Medium
1,3,female,0,58.195,308.24,15.514,48.074,Low
0,2,male,2,49.152,318.14,16.71,74.686,Medium
0,1,male,1,33.461,294.55,16.691,74.888,Low
0,1,female,3,55.597,358.92,14.322,54.592,Medium
0,5,male,1,73.743,456.83,9.883,117.082,High
2,3,female,1,43.734,298.41,16.679,46.426,Medium
2,4,male,0,59.575,331.96,15.434,48.933,Medium
0,3,male,1,39.457,420.08,17.325,60.153,Medium
0,2,female,3,54.83,281.59,20.197,89.55,Medium
2,4,male,1,65.752,280.51,18.192,74.824,Medium
0,1,female,1,53.722,243.88,16.929,50.821,Low
0,2,male,1,69.695,385.52,16.167,59.031,Medium
0,2,male,0,49.395,268.4,18.929,74.643,Low
0,1,female,1,66.777,356.3,18.486,58.115,Low
3,7,male,2,55.43,319.7,12.688,58.964,High
0,2,female,0,35.691,259.12,20.604,55.39,Medium
2,3,female,2,76.103,429.22,18.659,59.56,Medium
0,1,female,1,58.105,321.88,18.279,0,Low
0,3,male,1,67.645,367.23,18.088,45.735,Medium
0,3,female,0,51.362,419.24,19.638,86.465,Medium
0,1,male,1,75.422,342.62,18.904,69.1,Low
0,2,male,0,44.681,240.93,19.87,92.566,Medium
3,5,male,1,78.11,381.82,18.913,57.194,Medium
1,3,male,1,55.637,311.44,15.38,59.554,Medium
0,4,male,3,64.406,325.22,17.726,74.147,Medium
0,2,female,2,52.212,325.08,19.31,72.563,Medium
0,3,male,2,59.44,294.63,15.592,69.947,Medium
0,2,male,2,65.68,311.65,15.476,60.738,Medium
0,1,male,0,46.544,241.45,22.622,120.289,Medium
0,2,male,1,64.987,298.29,14.687,66.8,Medium
0,1,male,0,63.759,346.74,15.793,68.744,Medium
0,1,male,1,62.266,313.62,19.375,51.519,Medium
0,4,male,1,74.938,314.31,16.437,66.889,High
0,1,male,2,80.758,368.74,16.238,27.795,Low
0,2,male,2,48.397,290.03,13.008,51.422,Medium
0,1,male,0,46.473,284.94,20.098,48.11,Low
0,2,male,1,66.996,315.92,16.832,57.988,High
0,2,male,0,45.414,381.73,20.858,73.597,Low
0,1,female,1,55.388,274.3,20.293,83.165,Medium
0,2,male,0,77.712,290.8,20.282,20.583,Medium
0,2,male,1,37.661,301.7,17.671,74.94,Medium
0,1,female,0,41.134,327.52,16.029,97.237,Low
0,2,male,0,44.91,267.39,20.037,84.762,Medium
1,3,male,2,65.422,285.4,14.628,59.41,High
0,2,female,0,49.893,280.99,22.457,51.429,Medium
0,2,male,2,74.515,428.13,19.977,58.798,Medium
3,5,male,0,73.484,355.53,18.186,82.879,Medium
0,1,female,0,56.458,461.17,19.193,78.82,Low
0,2,female,1,61.922,311.28,15.46,76.809,Medium
0,2,male,0,61.131,294.34,18.98,86.205,Medium
0,2,male,0,64.263,282.97,18.85,55.674,Medium
0,1,female,1,56.419,474.05,20.016,70.641,Low
0,1,female,1,55.613,276.68,21.229,60.136,Medium
1,3,male,2,44.197,348.42,15.929,46.376,Medium
3,5,male,1,48.238,244,12.971,62.746,Medium
0,2,male,0,49.362,389.83,14.459,57.131,Medium
0,1,male,0,51.653,312.96,17.788,77.994,Medium
0,1,male,2,49.137,310.72,19.121,75.104,Low
0,1,male,1,46.408,360.43,19.338,65.361,Medium
0,2,female,0,65.98,449.32,15.718,32.904,Medium
1,3,male,2,53.878,310.63,19.161,74.596,Medium
0,2,female,0,61.206,266.77,16.681,56.103,Medium
0,1,female,3,43.352,271.76,19.806,60.004,Low
0,1,female,1,41.624,284.79,20.601,68.912,Low
2,4,female,0,61.636,293.62,21.091,58.426,Medium
2,4,female,0,82.93,378.62,14.111,49.29,Medium
0,1,male,2,52.226,313.74,13.853,61.563,Low
3,5,male,1,79.069,317.89,12.035,39.922,High
1,3,female,1,68.928,274.64,18.931,53.226,Medium
1,3,male,1,66.962,341.33,15.553,40.877,Medium
0,1,female,0,47.008,351.58,20.256,67.565,Medium
1,2,male,1,80.484,295.6,14.459,52.571,Medium
0,2,male,2,46.033,302.15,17.731,75.396,Medium
0,4,male,0,63.693,242.97,18.112,43.429,Medium
0,2,male,4,34.28,244.84,19.977,60.744,Medium
1,2,female,0,46.243,195.74,18.631,57.333,Low
0,1,female,2,64.569,339.71,21.706,0,Low
0,2,female,2,74.177,360.14,16.609,51.682,Medium
0,1,male,1,65.982,321.11,15.828,38.515,Medium
0,1,male,1,81.57,310.54,17.982,60.964,Medium
0,1,female,1,33.528,236.36,20.247,64.101,Low
1,2,female,0,26.298,288.17,23.665,65.115,Low
0,2,female,1,64.091,388.29,21.186,58.936,Medium
0,2,male,2,50.297,421.97,13.701,62.635,Medium
0,2,male,0,68.571,287.76,16.807,NA,Medium
0,3,male,1,78.656,302.89,20.099,58.965,Low
0,2,male,0,61.244,407.92,18.028,67.662,Medium
0,1,female,2,51.687,257.87,17.165,46.693,Low
1,4,male,2,73.255,455.09,16.995,22.467,High
1,2,female,3,51.979,362.54,12.656,49.553,Low
0,1,male,0,62.37,300.81,14.221,112.64,High
0,2,male,1,68.921,247.45,21.13,53.682,Medium
0,1,male,1,69.467,353.66,14.408,61.076,Medium
0,2,female,2,61.142,406.95,15.244,42.549,Low
0,1,female,1,54.14,387.36,12.911,62.465,Medium
0,1,male,2,73.43,492.04,15.485,98.19,Medium
0,1,female,1,47.716,273.5,21.47,53.494,Low
0,5,female,0,65.158,332.55,12.711,81.227,Medium
0,4,male,2,41.883,311.48,11.572,63.705,High
0,2,male,2,53.139,272.34,16.815,42.281,Medium
0,1,female,2,44.438,204.12,10.53,33.253,Medium
0,2,male,3,50.359,229.59,16.33,60.121,Medium
2,4,male,2,56.383,330.93,19.216,47.414,Medium
1,4,male,1,44.835,309.94,15.958,63.916,Medium
0,1,female,0,49.698,333.99,24.176,57.52,Low
1,3,female,2,60.492,374.39,14.847,49.733,Medium
0,2,male,1,60.783,426.06,13.976,96.991,High
0,3,female,2,42.806,260.41,14.498,50.351,Medium
1,2,female,0,80.637,355.87,21.028,127.065,Low
2,7,male,3,90.827,347.09,15.196,70.682,High
1,3,male,1,41.762,283.77,19.42,53.411,Low
3,5,male,0,45.052,264.33,15.016,68.696,Medium
0,2,male,1,78.026,329.09,16.42,39.459,Medium
0,1,female,0,42.298,285.12,15.219,67.935,Low
0,1,female,2,68.68,343.39,15.646,69.429,Medium
3,4,female,2,59.22,319.51,13.241,148.415,Medium
0,3,female,1,45.408,214.66,24.5,55.829,Medium
0,1,female,1,63.509,275.82,14.598,35.786,Low
2,4,male,0,56.255,351.92,19.133,65.423,Medium
0,1,female,1,53.42,364.93,16.857,55.895,Medium
0,1,female,1,56.623,303.25,18.277,60.563,Low
1,3,female,2,44.363,346.1,10.62,60.288,Low
0,3,female,2,57.284,418.54,18.248,98.611,Medium
1,3,male,1,85.597,412.71,16.668,55.999,Medium
0,1,female,1,60.074,318.85,16.003,56.249,Medium
0,3,male,1,38.989,275.7,16.517,79.367,Low
1,3,male,2,73.655,360.79,15.77,77.804,Medium
1,3,male,2,48.082,363.3,19.577,46.784,Medium
0,1,female,1,65.082,330.2,16.618,28.264,Low
0,1,female,2,62.68,312.14,14.108,63.851,Low
2,3,female,1,64.109,441.83,11.831,53.485,Medium
0,2,female,1,72.386,376.33,14.875,38.541,Low
1,2,female,1,60.192,348.43,13.689,49.387,Low
3,5,male,2,66.265,290.04,13.35,48.282,Medium
0,2,male,0,74.917,328.26,18.661,48.696,High
0,2,male,0,73.659,311.56,18.673,72.697,Medium
3,5,male,2,64.139,344.23,14.538,61.467,Medium
1,3,male,1,63.099,270.51,15.506,34.556,Medium
0,4,female,1,53.513,361.63,17.083,52.999,Medium
0,2,female,1,36.065,316.07,16.007,64.71,Medium
0,2,female,2,75.151,372,12.358,36.493,Medium
0,2,male,0,59.808,317.52,16.381,48.882,Medium
0,1,male,1,48.356,262.68,13.013,39.966,Low
0,2,male,1,76.442,270.02,15.512,47.659,Low
0,1,male,1,64.747,382.28,17.642,82.842,Low
0,2,male,1,56.277,315.28,18.608,66.415,Low
0,2,male,1,76.745,321.24,15.428,55.775,Medium
1,2,female,1,45.613,303.57,14.827,65.621,Low
0,2,female,3,69.273,389.36,18.77,51.825,Medium
2,5,male,0,62.798,344.46,18.096,58.157,High
0,2,male,0,47.935,280.21,16.693,63.34,Medium
0,2,male,2,40.579,253.82,16.903,54.593,Medium
0,1,male,1,57.774,410.74,20.216,81.653,Medium
1,3,male,1,59.269,307,12.888,45.386,Medium
2,3,female,1,55.071,319.47,17.136,61.591,Medium
0,2,female,3,64.026,401.56,18.667,60.816,Medium
0,2,male,1,78.94,353.44,17.421,59.959,Medium
0,1,male,0,79.984,343.85,21.688,78.163,Low
0,1,female,1,64.866,370.69,15.271,63.435,Low
1,3,male,1,66.501,317.71,16.083,95.582,Medium
0,1,female,2,46.321,316.66,17.593,43.922,Low
0,2,male,2,45.492,243.81,14.903,49.154,Low
0,2,female,1,61.456,229.21,20.671,61.551,Medium
0,1,female,0,58.273,290.1,15.837,61.358,Low
0,2,male,1,34.373,227.26,12.863,67.059,Medium
0,2,male,1,74.994,306.42,26.003,77.674,Medium
0,2,male,0,47.13,215.61,18.528,56.724,Medium
1,3,male,0,59.409,290.68,15.855,83.318,Medium
0,2,male,1,68.875,359.75,20.369,57.928,Medium
2,4,male,0,47.196,291.45,10.939,45.351,Medium
2,4,male,2,76.618,345.66,15.131,58.416,Medium
0,1,female,0,45.416,273.41,14.285,55.226,Low
0,1,male,2,44.563,286.66,20.367,62.967,Low
0,1,male,0,31.251,206.35,17.07,43.378,Medium
0,2,male,1,29.792,220.38,17.091,65.805,Medium
3,4,female,1,61.533,382.84,11.293,57.935,Medium
0,1,male,0,58.403,340.37,12.995,53.041,Medium
0,2,male,0,54.939,348.5,23.219,72.577,Low
0,2,female,2,55.504,339.21,21.404,52.559,Low
0,1,female,1,36.826,275.25,19.862,50.581,Medium
0,1,female,0,49.038,293.16,14.473,37.529,Low
0,2,male,2,62.995,297.77,14.726,61.293,High
1,3,male,0,65.765,393.43,19.1,103.064,Medium
0,1,male,1,52.272,326.06,16.814,51.667,Medium
0,2,male,0,67.288,305.44,17.391,67.372,Medium
0,1,male,0,43.144,321.97,17.991,78.29,Medium
0,1,female,1,49.011,255.81,16.32,74.339,Low
0,1,male,2,55.867,309.19,18.582,25.467,Medium
2,3,female,1,54.172,273.36,16.381,45.889,Medium
0,2,male,2,52.32,304.19,19.877,76.648,Medium
0,4,female,2,61.364,382.44,15.134,62.372,High
0,1,female,2,76.003,280.61,15.601,87.83,Low
1,2,female,1,50.819,278.56,16.196,0,Low
0,2,male,1,42.403,255.78,11.441,52.355,Medium
0,1,male,1,79.837,319.83,18.336,53.016,Low
