Platform,genre,avg.review,daily.listens,total.reviews,subscribers
Apple Podcasts,Comedy,4.6,4582.45,672,545.35
YouTube,News & Culture,4.5,4411.74,1006,330.9
Apple Podcasts,Comedy,4.33,4670.77,1009,617.97
Apple Podcasts,News & Culture,3.67,4379.82,709,541.77
Spotify,Comedy,3.68,4740.38,1069,506.54
Spotify,Documentary,4.1,4469.39,943,935.59
Apple Podcasts,Comedy,4.12,4898.38,783,779.04
Apple Podcasts,Documentary,4.88,4306.25,1268,872.41
Apple Podcasts,Comedy,4.25,4425.1,738,590.7
Apple Podcasts,Documentary,4.59,4417.91,843,779.24
Apple Podcasts,News & Culture,5,4219.42,868,424.35
Apple Podcasts,Documentary,4.23,4393.57,1079,883.78
Apple Podcasts,News & Culture,4.51,4423.54,1002,352.18
Apple Podcasts,News & Culture,4.14,4665.66,1099,546.59
Apple Podcasts,Comedy,4.94,4507.69,739,446.22
BBC Sounds,Documentary,5,4509.57,1157,760.15
Apple Podcasts,Documentary,4.66,4209.46,1003,789.5
Apple Podcasts,Documentary,4.6,4335.46,998,948.95
Spotify,Documentary,4.37,4273.19,975,801.01
Spotify,News & Culture,4.62,4727.83,960,489.66
Apple Podcasts,Comedy,4.28,4518.98,942,466.42
Apple Podcasts,Documentary,4,4377.09,846,874.71
Spotify,Documentary,4.55,4278.01,1057,702.81
Apple Podcasts,Documentary,4,4423.57,1204,1030.79
Apple Podcasts,News & Culture,4.61,4797.51,978,812.44
Spotify,Documentary,4.24,4232.75,782,1050.88
Apple Podcasts,Documentary,4.31,4440.75,945,1058.23
Spotify,Documentary,4.4,4394.68,1198,688.78
BBC Sounds,News & Culture,3.73,4478.52,1244,424.79
Apple Podcasts,Documentary,4.85,4570.12,1037,855.82
Apple Podcasts,Documentary,4.5,4293.26,1092,662.34
Apple Podcasts,Comedy,4.17,4834.18,1040,707.45
Apple Podcasts,Comedy,4.23,4974.19,1118,602.97
BBC Sounds,Documentary,4.56,4441.97,1108,885.45
Apple Podcasts,Documentary,4.84,4337.72,1067,692.24
Apple Podcasts,News & Culture,4,4442.13,871,230.71
Apple Podcasts,News & Culture,4.2,4482.01,932,622.73
Apple Podcasts,Documentary,3.5,4129.4,826,561.74
Spotify,Comedy,4.4,4869.65,1016,413.88
Apple Podcasts,News & Culture,3.33,4598.74,860,674.11
Apple Podcasts,Comedy,4.49,4827.59,863,650.33
Apple Podcasts,Comedy,3.91,4444.88,941,331.49
YouTube,Documentary,4.54,4370.71,1092,735.91
Apple Podcasts,Comedy,4.12,4866.88,1030,874.49
Apple Podcasts,Comedy,4.26,4474.12,698,441.69
Apple Podcasts,Comedy,4.75,4757.85,1131,587.12
Apple Podcasts,Comedy,4.37,4967.35,1203,807.24
Apple Podcasts,News & Culture,3.4,4604.19,1010,397.37
Apple Podcasts,Documentary,4.55,4241.96,1004,837.16
Apple Podcasts,Comedy,4.62,4801.47,906,485.19
YouTube,Comedy,4.63,4878.7,1343,522.02
BBC Sounds,Comedy,3.79,4851.95,1010,628.11
Spotify,News & Culture,4.5,4582.45,953,432.89
Apple Podcasts,Comedy,4.87,4645.44,949,530.74
Apple Podcasts,News & Culture,4.04,4292.26,801,443.04
Apple Podcasts,Comedy,4.82,4645.37,1067,498.72
Apple Podcasts,News & Culture,4.59,4417.44,955,459.77
Apple Podcasts,News & Culture,4.57,4580.03,982,590.29
Apple Podcasts,Comedy,3.31,4731.47,888,561.96
Apple Podcasts,Comedy,3.33,4548.25,956,379.94
Apple Podcasts,Documentary,4.63,4337.4,1257,736.3
Apple Podcasts,Documentary,4.18,4411.74,1212,1076.52
Apple Podcasts,Documentary,5,4209.24,956,888.38
Apple Podcasts,News & Culture,4.19,4302.42,690,478.88
Apple Podcasts,Documentary,5,4366.72,993,759.79
Apple Podcasts,News & Culture,4.04,4349.38,870,453.46
Apple Podcasts,Comedy,4.26,4677.94,900,641.07
Apple Podcasts,Documentary,3.43,4297.59,716,633.45
Apple Podcasts,News & Culture,4.59,4854.92,893,592.62
Apple Podcasts,Comedy,4.36,4578.97,851,568.77
Apple Podcasts,Comedy,4.34,4658.55,1046,538.41
Apple Podcasts,Documentary,4,4357.3,809,925.37
Apple Podcasts,Comedy,3.57,4518.83,820,604.65
Apple Podcasts,Documentary,4.33,4286.4,914,989.54
Apple Podcasts,News & Culture,4.46,4656.41,831,459.89
Apple Podcasts,Comedy,4.78,4769.73,1030,669.57
Spotify,Comedy,4.61,4810,1070,572.79
Spotify,Documentary,4.38,4333.49,979,959.58
YouTube,Comedy,4.83,4925.38,1153,573.54
Apple Podcasts,News & Culture,4.57,4782.57,1142,515.64
Apple Podcasts,News & Culture,4.55,4756.68,779,626.41
YouTube,News & Culture,4.48,4375.37,1048,474.3
Apple Podcasts,Documentary,4.58,4350.13,1038,415.66
Apple Podcasts,Comedy,4.09,4692.27,1178,546.32
Apple Podcasts,Documentary,4.6,4234.72,1002,687.1
Apple Podcasts,Comedy,3.85,4581.34,600,869.38
Apple Podcasts,Documentary,4.31,4339.33,984,633.95
YouTube,Documentary,4.25,4251.47,854,664.63
Spotify,Comedy,4.67,4742.08,1162,699.78
YouTube,News & Culture,4.68,4579.97,888,390.24
Spotify,News & Culture,4.77,4720.14,1109,460.63
Apple Podcasts,Comedy,4.1,4557.64,659,636.62
Spotify,Documentary,4,4395.84,845,855.41
Apple Podcasts,News & Culture,4.24,4611.77,991,315.24
Apple Podcasts,Comedy,4.11,4868.25,1127,532.55
Spotify,Documentary,4.87,4381.28,1063,959.75
Apple Podcasts,News & Culture,4.13,4371.55,665,321.69
Apple Podcasts,Comedy,3.4,4785.61,974,499.23
YouTube,News & Culture,4.16,4374.94,846,592.04
Spotify,Comedy,4.7,4830.36,1245,562.46
Apple Podcasts,Documentary,4.66,4274,1061,654.96
Apple Podcasts,Documentary,2.81,4161.75,941,750.87
Apple Podcasts,Documentary,4,4221.72,742,753.14
Apple Podcasts,News & Culture,5,4532.86,792,674.41
Apple Podcasts,Comedy,4.54,4710.85,857,522.75
Apple Podcasts,News & Culture,4.75,4563.15,908,601.24
Spotify,News & Culture,4.71,4645.62,1014,493.28
Apple Podcasts,News & Culture,5,4428.93,901,336.27
YouTube,News & Culture,3.83,4818.01,1100,565.63
Apple Podcasts,News & Culture,4.68,4414.83,1124,440.27
Apple Podcasts,Documentary,4.23,4337.59,1404,668.17
Apple Podcasts,News & Culture,4.92,4659.65,1152,466.98
Apple Podcasts,News & Culture,4.33,4575.73,1032,449.8
Apple Podcasts,Comedy,4.01,4970.64,1246,763.12
Apple Podcasts,Documentary,3.55,4289.92,1126,605.14
Apple Podcasts,Comedy,4.11,4717.42,1162,454.41
Apple Podcasts,News & Culture,4.43,4743.35,915,621.97
Apple Podcasts,Documentary,2.77,4400.14,1023,888.59
Spotify,Documentary,4.57,4120.31,751,658.63
Spotify,News & Culture,4.54,4354.53,876,632.59
Spotify,Comedy,4.37,4585.78,1062,385.84
Apple Podcasts,News & Culture,4.56,4608.61,1196,577.56
Apple Podcasts,Comedy,4.5,4594.41,829,526.48
Apple Podcasts,Comedy,4.6,4596.72,805,631.91
Apple Podcasts,Comedy,5,5069.22,1196,611.07
Apple Podcasts,Documentary,4.57,4229.53,987,688.2
Apple Podcasts,Comedy,5,4678.5,828,678.02
Spotify,News & Culture,4.74,4690.97,1237,489.87
Apple Podcasts,Documentary,4.25,4301.79,1014,783.29
Apple Podcasts,Comedy,3.75,4695.74,687,714.03
Apple Podcasts,News & Culture,4.74,4455.21,826,679.47
Spotify,Comedy,4.57,4673.03,1132,564.14
YouTube,News & Culture,4.17,4486.69,1126,232.91
Apple Podcasts,Comedy,4.09,4875.22,944,521.16
Apple Podcasts,Documentary,4.14,4300.27,887,942.9
Apple Podcasts,Documentary,4.71,4228.79,765,809.01
Apple Podcasts,Documentary,4.23,4381.28,1011,712.25
Apple Podcasts,News & Culture,5,4523.09,695,524.5
Spotify,Comedy,4.47,4613.07,940,350.69
Apple Podcasts,Documentary,4.3,4366.62,967,866.11
Apple Podcasts,Documentary,4.5,4469.41,1215,702.21
Apple Podcasts,News & Culture,4.45,4312.49,765,296.48
Apple Podcasts,Documentary,4.45,4218.73,728,1112.47
BBC Sounds,Documentary,4.59,4153.72,790,696.34
Spotify,Comedy,4.63,4686.25,1008,422.98
Apple Podcasts,Comedy,4.35,4822.24,961,531.15
Apple Podcasts,Documentary,4.89,4175.63,900,630.96
Apple Podcasts,Documentary,4.76,4381.32,1101,663.97
Apple Podcasts,Documentary,4.71,4253.04,906,571.97
Apple Podcasts,News & Culture,3.74,4565.48,970,452.72
Apple Podcasts,Comedy,4.33,4695.7,921,433.03
BBC Sounds,Comedy,4.68,4615.13,608,380.66
Apple Podcasts,Comedy,4.31,4638.28,804,389.14
Apple Podcasts,Documentary,4.45,4465.76,961,916.33
Spotify,News & Culture,4.55,4325.06,860,524.56
Apple Podcasts,Comedy,4.32,4751.52,909,503.93
Apple Podcasts,Documentary,4.2,4349.14,865,800.17
Apple Podcasts,Documentary,4.53,4466.52,990,926.73
Apple Podcasts,Comedy,4.75,4751.59,886,728.99
Apple Podcasts,Documentary,4.85,4439.39,1173,770.62
Apple Podcasts,News & Culture,4.22,4535.23,936,302.17
Spotify,Documentary,4.61,4406.53,793,1073.24
YouTube,Comedy,4.33,4748.4,960,541
Apple Podcasts,Documentary,4.85,4358.1,860,699.07
Apple Podcasts,Documentary,4.63,4405.45,1067,862.33
Apple Podcasts,Comedy,3.64,4654.98,661,635.5
Apple Podcasts,Comedy,4.49,4525.54,781,421.99
Apple Podcasts,Comedy,5,4608.26,925,468.1
Spotify,Documentary,4.59,4392.6,1244,882.36
Apple Podcasts,Documentary,3.92,4269.01,1239,701.36
Apple Podcasts,Documentary,3,4403.75,1032,934.04
Apple Podcasts,News & Culture,4.1,4423.85,840,530.66
Spotify,Comedy,4,4780.27,1035,698.23
BBC Sounds,Documentary,4.84,4223.56,999,901.3
Apple Podcasts,News & Culture,4.33,4368.14,606,636.22
Apple Podcasts,Documentary,4.25,4308.82,589,866.89
Apple Podcasts,News & Culture,4.55,4228.81,851,301.21
Apple Podcasts,News & Culture,4.5,4473.18,991,471.87
Apple Podcasts,Documentary,3.5,4275.08,1276,838.42
Apple Podcasts,Documentary,4.2,4182.27,911,654.72
Apple Podcasts,News & Culture,4.35,4468.87,964,604.1
Apple Podcasts,News & Culture,4.33,4624.68,1014,500.18
Apple Podcasts,Comedy,4.5,4747.49,1102,791.94
YouTube,Comedy,4.79,4482.93,1032,591.13
Spotify,Comedy,4.07,4857.85,1041,674.24
Apple Podcasts,Comedy,4.67,4765.23,1103,742.03
BBC Sounds,Documentary,4.73,4473.24,1051,1021.31
Apple Podcasts,News & Culture,4.75,4174.51,651,355.2
BBC Sounds,Comedy,3.21,4738.79,731,569.22
Apple Podcasts,News & Culture,4.85,4284.47,727,383.19
Apple Podcasts,Comedy,4.5,4618.91,1010,537.52
Apple Podcasts,Comedy,4.89,4704.89,855,567.15
Apple Podcasts,Documentary,4.57,4388.83,848,828.11
Apple Podcasts,Comedy,4.36,4541.22,834,670.05
Apple Podcasts,Comedy,4.22,4651.97,650,686.38
Apple Podcasts,Comedy,4.38,4642.44,782,495.69
Apple Podcasts,News & Culture,3.66,4559.17,1125,493.65
Apple Podcasts,News & Culture,4.2,4547.26,1000,613.89
Apple Podcasts,Comedy,3.66,4662.34,970,523.72
Apple Podcasts,Documentary,4.45,4482.53,1138,740.18
Spotify,News & Culture,4,4606.73,1096,476.33
Spotify,News & Culture,4.76,4449.5,779,633.17
Apple Podcasts,Comedy,4.3,4591.95,770,561.49
YouTube,Documentary,4.64,4502.62,1213,788.77
Apple Podcasts,News & Culture,5,4605.54,781,662.75
Apple Podcasts,Comedy,4.45,4685.4,1061,358.51
Spotify,Comedy,3.97,4862.18,981,660.02
Apple Podcasts,News & Culture,4.17,4449.73,1012,482.41
Apple Podcasts,News & Culture,4.62,4509.44,1043,494.36
Apple Podcasts,Documentary,4.35,4331.62,918,1072.35
Spotify,Documentary,5,4386.95,950,729.98
Apple Podcasts,Comedy,4.36,4672.72,886,370.68
Apple Podcasts,Documentary,4.4,4159.67,1022,837.75
Apple Podcasts,Comedy,4.75,4564.56,1021,343.3
Spotify,News & Culture,4.14,4557.53,1278,590.16
BBC Sounds,News & Culture,4.57,4545.64,928,631
Apple Podcasts,Comedy,2.75,4712.51,891,660.92
YouTube,Documentary,4.7,4329.65,976,826.72
Apple Podcasts,Documentary,4.26,4441.94,1276,1020.15
Spotify,Comedy,4.53,4580.69,907,400.02
Spotify,Documentary,4.61,4342.47,1043,870.2
Apple Podcasts,News & Culture,2.91,4545.37,883,709.67
Apple Podcasts,Documentary,4.09,4409.55,874,994.45
Apple Podcasts,News & Culture,4.54,4676.56,1005,497.46
Apple Podcasts,Documentary,4.23,4340.32,748,826.28
Apple Podcasts,Documentary,4,4182.77,817,591.97
Apple Podcasts,News & Culture,4.58,4726.26,1109,393.3
Spotify,Documentary,3.2,4384.07,1183,834.83
Spotify,Comedy,3.98,4519.29,757,587.65
Apple Podcasts,News & Culture,3.93,4545.39,890,385.36
Apple Podcasts,News & Culture,4.38,4271.94,520,467.51
Apple Podcasts,News & Culture,4.61,4835.5,905,716.1
Apple Podcasts,News & Culture,4.23,4654.13,840,673.66
Apple Podcasts,Documentary,4.8,4530.49,1015,920.35
Apple Podcasts,News & Culture,4.45,4501.8,829,324.76
YouTube,Documentary,3.91,4362.83,937,764.53
Apple Podcasts,Documentary,4.41,4383.15,1138,766.97
Apple Podcasts,Comedy,4.68,4863.32,1005,773
Apple Podcasts,Documentary,3.88,4490.63,1047,997.47
Spotify,Documentary,4.26,4348.38,871,929.25
YouTube,Comedy,4.86,4988.92,1236,541.74
Apple Podcasts,Documentary,4.52,4391.9,1057,949.55
Apple Podcasts,Comedy,4.7,4457.21,900,399.22
Apple Podcasts,Documentary,4.31,4486.96,1356,1040.62
Apple Podcasts,Documentary,4.53,4410.23,1308,730.33
Spotify,News & Culture,3.44,4665.67,1276,299.29
Apple Podcasts,Documentary,3.77,4236.76,1132,766.12
Spotify,Documentary,3.71,4322.55,672,1020.93
Spotify,Documentary,4.09,4345.13,1086,659.1
Apple Podcasts,Documentary,4,4357.32,912,729.95
Apple Podcasts,Comedy,4.56,4809.21,1013,684.12
Apple Podcasts,Documentary,4.48,4502.66,1053,997.76
Spotify,News & Culture,4.33,4576.78,763,609.98
Apple Podcasts,Documentary,4.34,4437.73,1045,723.23
Apple Podcasts,Documentary,4.51,4365.91,828,776.8
Apple Podcasts,News & Culture,4.84,4569.31,950,161.17
Spotify,News & Culture,4.33,4542.99,1030,593.91
Apple Podcasts,Documentary,4.3,4438.82,1088,691.53
Apple Podcasts,Comedy,4.83,4780.29,1096,621.47
Apple Podcasts,Comedy,4,4834.44,1073,477.45
Apple Podcasts,Documentary,5,4319.41,1025,718.42
Apple Podcasts,News & Culture,3,4545.19,974,447.63
Apple Podcasts,Comedy,4.36,4860,1087,639.88
Apple Podcasts,Documentary,4.4,4265.68,1063,773.18
Apple Podcasts,News & Culture,4.62,4523.93,909,821.54
YouTube,News & Culture,4.38,4359.25,753,402.58
YouTube,News & Culture,3.57,4269.19,967,677.05
Apple Podcasts,Documentary,3.8,4315.04,1035,840.38
Apple Podcasts,Documentary,4.19,4357.35,871,717.89
Apple Podcasts,Documentary,4.33,4243.04,1031,652.84
Apple Podcasts,Documentary,4.03,4451.59,990,758.29
Spotify,Documentary,3.62,4527.52,1159,932.27
Apple Podcasts,Documentary,3.33,4227.79,1027,831.35
Apple Podcasts,Comedy,4.07,4798.35,1081,604.33
Apple Podcasts,Comedy,4,4675.44,782,693.42
Apple Podcasts,News & Culture,4.87,4748.54,897,406.34
Apple Podcasts,Documentary,4.4,4188.12,926,672.04
BBC Sounds,News & Culture,4.66,4345.88,792,422.1
Apple Podcasts,Comedy,4.3,4534.12,824,796.35
Spotify,Documentary,4.35,4404.56,960,991.96
Apple Podcasts,Comedy,4.51,4592.46,844,590.5
Apple Podcasts,News & Culture,3.88,4531.33,969,664.01
Apple Podcasts,Documentary,4.8,4365.82,960,911.71
Spotify,Comedy,4.77,4430.96,547,391.8
Spotify,News & Culture,4,4337.07,691,517.98
Apple Podcasts,Comedy,4.62,4740.14,1001,447.37
Apple Podcasts,Documentary,4.16,4209.77,1025,900.95
Apple Podcasts,Documentary,4.18,4329.2,949,747.29
